school,programType,cutoffScores
Jones HS,Pre-Law,539
Juarez HS,International Baccalaureate (IB),505
Juarez HS,Medical & Health Careers,316
Julian HS,Allied Health,23
Kelly HS,International Baccalaureate (IB),650
Kennedy HS,International Baccalaureate (IB),653
Lincoln Park HS,Drama,60
Lincoln Park HS,Honors/Double Honors,796
Lincoln Park HS,International Baccalaureate (IB),790
Lincoln Park HS,Music - Instrumental,17
Lincoln Park HS,Music - Vocal,24
Lincoln Park HS,VISUAL ARTS,20.5
Marine Leadership At Ames HS,Service Leadership Academy,352
Mather HS,Pre-Engineering,355
Mather HS,Pre-Law,250
Morgan Park HS,International Baccalaureate (IB),470
North-Grand Hs,Allied Health,381
North-Grand Hs,Pre-Engineering,391
Ogden HS,International Baccalaureate (IB),532.5
Phoenix Military HS,Service Leadership Academy,328
Prosser HS,International Baccalaureate (IB),621.5
Rickover Military HS,Service Leadership Academy,300
Roosevelt HS,Cisco Networking,17
Roosevelt HS,Medical & Health Careers,153
Schurz HS,Allied Health,291
Schurz HS,International Baccalaureate (IB),479
Schurz HS,Pre-Engineering,316
Senn HS,Dance,580
Senn HS,International Baccalaureate (IB),556
Senn HS,Music,564
Senn HS,Theatre,593
Senn HS,Visual Arts,528
Simeon HS,Career Academy,76
South Shore Intl HS,International Baccalaureate (IB),510
South Shore Intl HS,Medical & Health Careers,490
Steinmetz HS,International Baccalaureate (IB),653.5
Sullivan HS,Medical & Health Careers,18
Taft HS,International Baccalaureate (IB),891
Taft HS,NJROTC,23
Von Steuben HS,Scholars,81
Washington HS,International Baccalaureate (IB),637.5
Wells HS,Pre-Law,183
Williams HS,Medical & Health Careers,35
Air Force HS,Service Leadership Academy,301
Alcott HS,Pre-Engineering,411
Amundsen HS,International Baccalaureate (IB),700
Back Of The Yards HS,International Baccalaureate (IB),617.5
Bowen HS,Pre-Engineering,0
Carver Military HS,Service Leadership Academy,322
Chiarts HS,Creative Writing,374
Chiarts HS,Dance,294
Chiarts HS,Music - Vocal,668.5
Chiarts HS,Music Instrumental - Bass & Woodwinds,218
Chiarts HS,Music Instrumental - Strings,108
Chiarts HS,Musical Theatre,652
Chiarts HS,Theatre,366
Chiarts HS,Visual Arts,482
Chicago Military HS,Service Leadership Academy,308
Chicago Vocational HS,Medical Assisting,90
Clemente HS,Allied Health,205
Clemente HS,International Baccalaureate (IB),484
Curie HS,Dance,3
Curie HS,International Baccalaureate (IB),640
Curie HS,Music,11
Curie HS,Pre-Engineering,422
Curie HS,Visual Arts,6
Dunbar HS,Allied Health,212
Dyett Arts HS,Choir,75
Dyett Arts HS,Dance,75
Dyett Arts HS,General Education,60
Dyett Arts HS,Theater,70
Dyett Arts HS,Visual Arts,60
Farragut HS,Pre-Law,20
Foreman HS,Pre-Engineering,51
Hancock HS,Pre-Engineering,456
Hancock HS,Pre-Law,436
Hubbard HS,International Baccalaureate (IB),602
Hubbard HS,University Scholars,446
Hyde Park HS,International Baccalaureate (IB),422
Jones HS,Pre-Engineering,548
