SCHOOL,PROGRAM,CUTOFF SCORE
Juarez HS,Medical & Health Careers,355
Julian HS,Allied Health,4
Kelly HS,International Baccalaureate (IB),657.5
Kennedy HS,International Baccalaureate (IB),653
Lincoln Park HS,Drama,62
Lincoln Park HS,Honors/Double Honors,870
Lincoln Park HS,International Baccalaureate (IB),800
Lincoln Park HS,Music - Instrumental,20
Lincoln Park HS,Music - Vocal,22
Lincoln Park HS,Visual Arts,21.5
Marine Leadership At Ames HS,Service Leadership Academy,272
Mather HS,Pre-Engineering,370
Mather HS,Pre-Law,254
Morgan Park HS,International Baccalaureate (IB),435
Ogden HS,International Baccalaureate (IB),539
Phoenix Military HS,Service Leadership Academy,300
Prosser HS,International Baccalaureate (IB),620
Raby HS,Pre-Law,11
Rickover Military HS,Service Leadership Academy,250
Roosevelt HS,Medical & Health Careers,161
Schurz HS,Allied Health,302
Schurz HS,International Baccalaureate (IB),447
Schurz HS,Pre-Engineering,300
Senn HS,Dance,564
Senn HS,International Baccalaureate (IB),577
Senn HS,Music,623
Senn HS,Theatre,563
Senn HS,Visual Arts,531
Simeon HS,Career Academy,81
South Shore Intl HS,International Baccalaureate (IB),464.5
South Shore Intl HS,Medical & Health Careers,491
Steinmetz HS,International Baccalaureate (IB),593
Sullivan HS,Medical & Health Careers,57
Taft HS,International Baccalaureate (IB),869.5
Taft HS,NJROTC,73
Von Steuben HS,Scholars,83
Washington HS,International Baccalaureate (IB),505.5
Wells HS,Pre-Law,193
Williams HS,Medical & Health Careers,230
Air Force HS,Service Leadership Academy,301
Alcott HS,Pre-Engineering,446
Amundsen HS,International Baccalaureate (IB),726.5
Back Of The Yards HS,International Baccalaureate (IB),619.5
Bowen HS,Pre-Engineering,39
Carver Military HS,Service Leadership Academy,300
Chiarts HS,Creative Writing,422
Chiarts HS,Dance,266
Chiarts HS,Music - Vocal,580
Chiarts HS,Music Instrumental - Bass & Woodwinds,330
Chiarts HS,Music Instrumental - Strings,222
Chiarts HS,Musical Theatre,640
Chiarts HS,Theatre,422
Chiarts HS,Visual Arts,560
Chicago Vocational HS,Medical Assisting,52
Clemente HS,Allied Health,322
Curie HS,Dance,10
Curie HS,International Baccalaureate (IB),643
Curie HS,Music,13
Curie HS,Pre-Engineering,411
Curie HS,Visual Arts,11
Dunbar HS,Medical and Health Careers,208
Dyett Arts HS,Dance,125
Dyett Arts HS,General Education,110
Dyett Arts HS,Theater,125
Dyett Arts HS,Visual Arts,120
Farragut HS,Pre-Law,44
Foreman HS,Pre-Engineering,179
Hancock HS,Pre-Engineering,462
Hancock HS,Pre-Law,450
Hubbard HS,International Baccalaureate (IB),572.5
Hubbard HS,University Scholars,369
Hyde Park HS,International Baccalaureate (IB),467
Jones HS,Pre-Engineering,542
Jones HS,Pre-Law,544
Juarez HS,International Baccalaureate (IB),512
