,School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
0,400094,EPIC HS,EPIC Academy Charter High School,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=400094,http://www.epicacademy.org,-87.55022237,41.74484911,General Education,None,"Students are randomly selected by computerized lottery. The lottery is conducted in the following order: sibling, proximity, general."
1,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Band,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
2,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Choir,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
3,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Dance,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
4,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Digital Media,None,Students are randomly selected by computerized lottery. General Education and 504 Plan students: Preference is given to students with percentiles of 24 and above on the NWEA MAP in reading and math. A total of 30% of the seats will be made available to attendance area applicants.IEP and EL students: Preference is given to students with combined NWEA MAP scores that equal 48 or above.Note: Repeating 8th graders and students pushed into 8th grade from 6th grade due to age requirements qualify for selection but will be placed in a lower preference group.
5,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,General Education,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
6,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Theatre,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
7,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610587,https://newdyett.org,-87.61223911,41.80120417,Visual Arts,"Students who live within the school's attendance boundary have no eligibility requirements.Students who live outside of the school's attendance boundary:Minimum percentile of 48 in both reading and math on NWEA MAP, minimum 2.0 GPA in 7th grade, and 7th grade minimum attendance percentage of 90.Completion of a written interview is required for eligible students who live outside of the school's attendance boundary. Applicants must complete form at www.newdyett.org. Paper applicants or applicants without computer access should picke up a copy of the form from the school or call the school to have the form emailed.",Students who live within the school's attendance boundary have no eligibility requirements and can be admitted automatically.Eligible students are selected on a point system. Points are based on the student's NWEA MAP scores in reading and math and the written interview.
8,400111,LEARN - PERKINS,L.E.A.R.N. - Hunter Perkins Campus,ES,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=400111,http://www.learncharter.org,-87.66572106,41.74312177,General Education,,
9,610568,PATHWAYS - AVONDALE HS,Pathways in Education- Avondale,HS,https://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610568,https://pathwaysineducation.org,-87.70520632,41.93943321,General Education,,
