SCHOOL,PROGRAM,CUTOFF SCORE,,,,
AIR FORCE HS,Military & Service Leadership,205,,,,
ALCOTT HS,Pre-Engineering ,60,,,,
AMUNDSEN HS,International Baccalaureate (IB),775,,,,
BACK OF THE YARDS HS,International Baccalaureate (IB),538,,,,
CARVER MILITARY HS,Military & Service Leadership,276,,,,
CHIARTS HS,Creative Writing,424,,,,
CHIARTS HS,Dance,110,,,,
CHIARTS HS,Musical Theatre,384,,,,
CHIARTS HS,Theatre,258,,,,
CHIARTS HS,Visual Arts,510,,,,
CHIARTS HS,Vocal Music,210,,,,
CHICAGO MILITARY HS,Military & Service Leadership,155,,,,
CHICAGO VOCATIONAL HS,Medical & Health Careers,25,,,,
CLEMENTE HS,Allied Health,29,,,,
CURIE HS,International Baccalaureate (IB),520,,,,
CURIE HS,Pre-Engineering,375,,,,
DUNBAR HS,Medical & Health Careers,36,,,,
FARRAGUT HS,International Baccalaureate (IB),192,,,,
FARRAGUT HS,Pre-Law,128,,,,
FOREMAN HS,Pre-Engineering,0,,,,
GAGE PARK HS,Allied Health,55,,,,
HANCOCK HS,Pre-Engineering,545,,,,
HANCOCK HS,Pre-Law,532,,,,
HUBBARD HS,International Baccalaureate (IB),573.5,,,,
HUBBARD HS,University Scholars,540,,,,
INSTITUTO - HEALTH,Allied Health,21,,,,
JONES HS,Pre-Engineering,580,,,,
JONES HS,Pre-Law,568,,,,
JUAREZ HS,International Baccalaureate (IB),379,,,,
JUAREZ HS,Medical & Health Careers,250,,,,
JULIAN HS,Allied Health,34,,,,
KELLY HS,International Baccalaureate (IB),417,,,,
KELVYN PARK HS,Allied Health,141,,,,
KENNEDY HS,International Baccalaureate (IB),501,,,,
LINCOLN PARK HS,Drama,56,,,,
LINCOLN PARK HS,Instrumental Music,14,,,,
LINCOLN PARK HS, International Baccalaureate (IB) - MYP Diploma Program,701.5,,,,
LINCOLN PARK HS,International Baccalaureate (IB) - MYP Honors/DoubleHonors,784,,,,
LINCOLN PARK HS,Visual Arts,17,,,,
LINCOLN PARK HS,Vocal Music,16,,,,
MARINE LEADERSHIP AT AMES HS,Military & Service Leadership,189,,,,
MATHER HS,Pre-Engineering,161,,,,
MATHER HS,Pre-Law,50,,,,
MORGAN PARK HS,International Baccalaureate (IB),309.5,,,,
MULTICULTURAL ARTS HIGH SCHOOL,Allied Health,118,,,,
NORTH-GRAND HS,Allied Health,297,,,,
NORTH-GRAND HS,Pre-Engineering,277,,,,
OGDEN HS,International Baccalaureate (IB),401,,,,
PHOENIX MILITARY HS,Military & Service Leadership,300,,,,
PROSSER HS,International Baccalaureate (IB),533.5,,,,
RICKOVER MILITARY HS,Military & Service Leadership,260,,,,
ROOSEVELT HS,Computer Networking,43,,,,
ROOSEVELT HS,Medical & Health Careers,57,,,,
SCHURZ HS,Allied Health,29,,,,
SCHURZ HS,International Baccalaureate (IB),34,,,,
SCHURZ HS,Pre-Engineering,32,,,,
SENN HS,International Baccalaureate (IB),570,,,,
SENN HS,Music,536,,,,
SENN HS,Theatre,552,,,,
SENN HS,Visual Arts,600,,,,
SIMEON HS,Career Academy,61,,,,
SOCIAL JUSTICE HS,Allied Health,0,,,,
SOUTH SHORE INTL HS,International Baccalaureate (IB),292,,,,
SOUTH SHORE INTL HS,Medical & Health Careers,399,,,,
STEINMETZ HS,International Baccalaureate (IB),518,,,,
SULLIVAN HS,Medical & Health Careers,0,,,,
TAFT HS,International Baccalaureate (IB),855,,,,
TAFT HS,NJROTC,85,,,,
VON STEUBEN HS,Scholars,81,,,,
WASHINGTON HS,International Baccalaureate (IB),472,,,,
WELLS HS,Pre-Law,78,,,,
WILLIAMS HS,Medical & Health Careers,62,,,,
WORLD LANGUAGE HS,Allied Health,0,,,,
