School,Selection Method,Mean,Min,Max,,
Brooks,Rank ,839.8,811,893,,
Brooks,Tier 1,739.7,700,809,,
Brooks,Tier 2,771.9,741,807,,
Brooks,Tier 3,790.3,771,810.5,,
Brooks,Tier 4,736.7,672,806.5,,
Hancock,Rank ,876.8,859,900,,
Hancock,Tier 1,817,789,855,,
Hancock,Tier 2,832,813,855,,
Hancock,Tier 3,848.5,838,859,,
Hancock,Tier 4,816.4,773.5,859,,
Jones,Rank ,898.6,895,900,,
Jones,Tier 1,850.1,809,891,,
Jones,Tier 2,874.8,853.5,895,,
Jones,Tier 3,881.8,870,895,,
Jones,Tier 4,892.9,891,895,,
King,Rank ,754.1,710.5,841,,
King,Tier 1,662.9,619.5,706,,
King,Tier 2,659.5,610,709.5,,
King,Tier 3,654.7,614.5,709.5,,
King,Tier 4,585.7,501.5,691.5,,
Lane Tech,Rank ,894.7,887,899,,
Lane Tech,Tier 1,794.3,742.5,884,,
Lane Tech,Tier 2,843.7,816,886,,
Lane Tech,Tier 3,863.4,844,884,,
Lane Tech,Tier 4,878.5,870,886,,
Lindblom,Rank ,831.2,802,900,,
Lindblom,Tier 1,763.4,735.5,802,,
Lindblom,Tier 2,774.8,749.5,802,,
Lindblom,Tier 3,765.1,743,802,,
Lindblom,Tier 4,630.8,529,741,,
Northside PREP,Rank ,900,900,900,,
Northside PREP,Tier 1,821.7,748.5,898,,
Northside PREP,Tier 2,871.9,846.5,900,,
Northside PREP,Tier 3,893.3,884,900,,
Northside PREP,Tier 4,898.9,896,900,,
Payton,Rank ,900,900,900,,
Payton,Tier 1,859.1,812,900,,
Payton,Tier 2,888.2,869,900,,
Payton,Tier 3,896.4,887,900,,
Payton,Tier 4,900,900,900,,
South Shore INTL,Rank ,734.8,682,861,,
South Shore INTL,Tier 1,624.4,576,675.5,,
South Shore INTL,Tier 2,607.6,541,680.5,,
South Shore INTL,Tier 3,628.1,578,680,,
South Shore INTL,Tier 4,589.5,529,637.5,,
Westinghouse,Rank ,819.9,793,870,,
Westinghouse,Tier 1,745.8,717.6,793,,
Westinghouse,Tier 2,766.3,735.6,793,,
Westinghouse,Tier 3,727.3,666,793,,
Westinghouse,Tier 4,663.2,514.5,789,,
Young,Rank ,896.9,891,900,,
Young,Tier 1,853.4,816.5,891,,
Young,Tier 2,863.2,842.5,891,,
Young,Tier 3,875.7,859,891,,
Young,Tier 4,887.5,884,891,,
