SCHOOL,PROGRAM,"CUTOFF SCORE"
AMUNDSEN HS,International Baccalaureate (IB),811
CURIE HS,International Baccalaureate (IB),659
CURIE HS,Pre-Engineering,702
HANCOCK HS,Pre-Engineering,764.5
HANCOCK HS,Pre-Law,766
JONES HS,Pre-Engineering,832
JONES HS,Pre-Law,775
KENNEDY HS,International Baccalaureate (IB),545
KING HS,Pre-Engineering,596.5
LINCOLN PARK HS,Advanced College Prep,730
LINCOLN PARK HS,"International Baccalaureate (IB) - MYP Diploma Program",836
RICKOVER MILITARY HS,Millitary & Service Leadership,522
SOLORIO HS,Pre-Engineering,751.5
SOLORIO HS,Scholars,730
TAFT HS,International Baccalaureate (IB),796
VON STEUBEN HS,Scholars,765.5
WASHINGTON HS,International Baccalaureate (IB),505.5
ALCOTT HS,Pre-Engineering,584.9
"BACK OF THE YARDS HS",International Baccalaureate (IB),632.0
BOGAN HS,International Baccalaureate (IB),445.7
BRONZEVILLE HS,International Baccalaureate (IB),525.1
"CARVER MILITARY HS",Military & Service Leadership,460.4
"CHICAGO MILITARY HS",Military & Service Leadership,380.3
CLARK HS,International Baccalaureate (IB),371.6
CLEMENTE HS,Health Science,422.3
CLEMENTE HS,International Baccalaureate (IB),535.5
FARRAGUT HS,International Baccalaureate (IB),478.6
FARRAGUT HS,Pre-Law,378.8
FOREMAN HS,Pre-Engineering,400.5
GAGE PARK HS,Health Science,390.3
HUBBARD HS,International Baccalaureate (IB),527.4
HUBBARD HS,University Scholars,503.5
HYDE PARK HS,International Baccalaureate (IB),472.5
JUAREZ HS,Health Science,541.6
JUAREZ HS,International Baccalaureate (IB),551.6
JULIAN HS,Health Science,411.5
KELLY HS,International Baccalaureate (IB),553.0
KELVYN PARK HS,Health Science,418.7
MATHER HS,Pre-Engineering,595.7
MATHER HS,Pre-Law,516.3
MORGAN PARK HS, International Baccalaureate (IB),603.6
NORTH-GRAND HS,Health Science,547.5
NORTH-GRAND HS,Pre-Engineering,427.9
OGDEN HS,International Baccalaureate (IB),551.5
"PHOENIX MILITARY HS",Military & Service Leadership,404.5
PROSSER HS,International Baccalaureate (IB),632.4
ROOSEVELT HS,Health Science,460.5
SCHURZ HS,Health Science,414.7
SCHURZ HS,International Baccalaureate (IB),614.9
SCHURZ HS,Pre-Engineering,482.6
SENN HS,International Baccalaureate (IB),573.1
SOUTH SHORE INTL HS,Health Science,542.3
STEINMETZ HS,International Baccalaureate (IB),553.7
SULLIVAN HS,Health Science,457.7
WELLS HS,Pre-Law,476.8
WILLIAMS HS,Health Science,350.8
WORLD LANGUAGE HS,Health Science,425.3
