School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
610603,SANTIAGO,Esmeralda Santiago Elementary School,ES,https://www.cps.edu/schools/profiles/school-overview/SANTIAGO,https://santiago.cps.edu,0,0,SANTIAGO-Personalized Learning,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li><li><strong>Note: </strong>Personalized learning is a learner-driven instructional model that fosters 21st century skills by empowering every student to actively co-design their learning path, pace, and environment according to their individual needs, strengths, and interests. Simply put, at the core of personalized learning is learner agency. </li></ul>"
610604,DE LAS CASAS,Bartolome de las Casas Elementary School,ES,https://www.cps.edu/schools/profiles/school-overview/DE-LAS-CASAS,https://casas.cps.edu,0,0,DE LAS CASAS-Open Enrollment,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li><li><strong>Note: </strong>Open enrollment programs offer a well-rounded general education curriculum, focusing on core subjects like math, science, reading, and social studies. These programs serve a broad range of students without admissions screening or specialized academic focus. </li></ul>"
610605,CISNEROS,Sandra Cisneros Elementary School,ES,https://www.cps.edu/schools/profiles/school-overview/CISNEROS,https://cisneros.cps.edu,0,0,CISNEROS-Open Enrollment,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li><li><strong>Note: </strong>Open enrollment programs offer a well-rounded general education curriculum, focusing on core subjects like math, science, reading, and social studies. These programs serve a broad range of students without admissions screening or specialized academic focus. </li></ul>"
610606,TAMAYO,Rufino Tamayo Elementary School,ES,https://www.cps.edu/schools/profiles/school-overview/TAMAYO,https://tamayo.cps.edu,0,0,TAMAYO-Open Enrollment,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,Overlay Preference,General</li><li><strong>Note: </strong>Open enrollment programs offer a well-rounded general education curriculum, focusing on core subjects like math, science, reading, and social studies. These programs serve a broad range of students without admissions screening or specialized academic focus. </li></ul>"
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Brass & Woodwinds,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Creative Writing,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Dance,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Guitar,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Musical Theatre,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Percussion,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Piano,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Strings,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Theatre,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Visual Arts,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610607,CHICAGO ARTS HS,Chicago Arts High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-ARTS-HS,https://www.chicagoarts.cps.edu/,0,0,CHICAGO ARTS HS-Vocal Music,<ul><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
609674,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-VOCATIONAL-HS,https://chicagovocational.org,41.737174,-87.573268,CHICAGO VOCATIONAL HS-Agriculture & Horticulture,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609674,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/CHICAGO-VOCATIONAL-HS,https://chicagovocational.org,41.737174,-87.573268,CHICAGO VOCATIONAL HS-Carpentry,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
