School,Selection Method,"Mean","Min","Max",,
BROOKS HS,Rank,832,796.5,895,,
BROOKS HS,Tier 1,723.2,680.5,791.5,,
BROOKS HS,Tier 2,769,746.5,794.5,,
BROOKS HS,Tier 3,765.6,742.5,794,,
BROOKS HS,Tier 4,750.5,705,793,,
NORTHSIDE PREP HS,Rank,898.4,895,900,,
NORTHSIDE PREP HS,Tier 1,813.7,745,893,,
NORTHSIDE PREP HS,Tier 2,858.1,812,895,,
NORTHSIDE PREP HS,Tier 3,887.5,878,895,,
NORTHSIDE PREP HS,Tier 4,894.2,891,895,,
HANCOCK HS,Rank,868,850,898,,
HANCOCK HS,Tier 1,768.4,731.5,844,,
HANCOCK HS,Tier 2,807.8,793,834,,
HANCOCK HS,Tier 3,832.7,825,846.5,,
HANCOCK HS,Tier 4,816.4,775,850,,
PAYTON HS,Rank,900,900,900,,
PAYTON HS,Tier 1,843.1,794,900,,
PAYTON HS,Tier 2,872.5,832,900,,
PAYTON HS,Tier 3,885.8,868,900,,
PAYTON HS,Tier 4,899.5,898 900,,,
JONES HS,Rank,889,880,900,,
JONES HS,Tier 1,803.3,766,866,,
JONES HS,Tier 2,846.7,825,880,,
JONES HS,Tier 3,852.2,834,879,,
JONES HS,Tier 4,872.6,868,880,,
SOUTH SHORE INTL HS,Rank,674.2,627,877,,
SOUTH SHORE INTL HS,Tier 1,564.1,510.5,627,,
SOUTH SHORE INTL HS,Tier 2,572.3,534,625,,
SOUTH SHORE INTL HS,Tier 3,550.1,504,627,,
SOUTH SHORE INTL HS,Tier 4,553.5,500,619.5,,
KING HS,Rank,704.9,661,861,,
KING HS,Tier 1,609,562.5,659,,
KING HS,Tier 2,609.2,559.5,660.5,,
KING HS,Tier 3,600.6,544,657,,
KING HS,Tier 4,572.3,500.5,661,,
WESTINGHOUSE HS,Rank,810.4,773,889,,
WESTINGHOUSE HS,Tier 1,703.7,672.5,772,,
WESTINGHOUSE HS,Tier 2,728.1,691,773,,
WESTINGHOUSE HS,Tier 3,731.9,686,773,,
WESTINGHOUSE HS,Tier 4,696.8,614,773,,
LANE TECH HS,Rank,"889,9",879,900,,
LANE TECH HS,Tier 1,770.6,718,879,,
LANE TECH HS,Tier 2,823.1,784,879,,
LANE TECH HS,Tier 3,853,831.5,879,,
LANE TECH HS,Tier 4,870.3,864,879,,
YOUNG HS,Rank,897.6,895,900,,
YOUNG HS,Tier 1,843.7,803,893,,
YOUNG HS,Tier 2,873.7,855,895,,
YOUNG HS,Tier 3,876.9,861,895,,
YOUNG HS,Tier 4,891.5,884,895,,
LINDBLOM HS,Rank,812.9,787.5,900,,
LINDBLOM HS,Tier 1,724.4,698,775.5,,
LINDBLOM HS,Tier 2,754,732,784,,
LINDBLOM HS,Tier 3,752.2,725.5,784,,
LINDBLOM HS,Tier 4,704.8,630,787.5,,
